# 1964 slip region
#   LON, LAT
-143.89994515	59.270643591
-145.229134556	59.1516853543
-146.318890654	58.7543739568
-146.772219575	58.3089793975
-147.372168122	57.8412497825
-148.306803703	57.2934845119
-149.455413008	56.8608295348
-150.568349629	56.4802515526
-151.890475598	56.0345105385
-153.441383636	57.1059480036
-152.095677379	58.0028173237
-151.209700709	58.6853837014
-150.636695023	59.621327572
-150.082110463	60.2031390889
-148.994215199	60.6236792204
-147.676437348	61.084001822
-146.167613095	61.2154087191
-143.822508819	61.0070748918
-143.89994515	59.270643591
