> -L"CSZ_CA_coast"
-123.887102949	48.3747335819
-124.131827849	48.4288232746
-124.394498846	48.4820317848
-124.562319566	48.5422774657
-124.863564957	48.6454813205
-125.050399271	48.7103207121
-125.184112739	48.7531744443
-125.346113204	48.8239618298
-125.472841744	48.8839889687
-125.590822669	48.9384047212
-125.792431072	49.0479417836
-125.965790484	49.1176951729
-126.103070395	49.171110882
-126.112826908	49.1823544082
-126.178582943	49.2264551496
-126.292265753	49.3094211002
-126.326943837	49.3508835108
-126.393429125	49.4063248079
-126.471614988	49.3861471018
-126.560041611	49.3828788002
-126.608202838	49.4273244731
-126.605770879	49.5025251221
-126.593442307	49.5664929859
-126.693052214	49.5858632128
-126.801122289	49.5990181521
-126.892720467	49.6242337279
-126.966817946	49.7483082356
-127.062069884	49.8079472784
-127.155848499	49.8502633559
-127.24443514	49.9273862601
-127.366219918	49.9741666315
-127.441536357	50.005555844
-127.564656295	50.0578948682
-127.640445609	50.0891572854
-127.759436615	50.1010632195
-127.858545122	50.0964340812
-127.924514209	50.116488936
-127.912515672	50.1691090239
-127.865665616	50.2349549332
-127.919069142	50.3018941777
-128.005466794	50.3383677229
-128.008943422	50.4423290392
-128.151919753	50.4877570968
-128.264784861	50.5808692584
-128.367609241	50.6628953833
-128.423468087	50.735627264
-128.450489364	50.7981342404
-128.324748226	50.8275631968
-128.163847916	50.8700721559
-128.048073509	50.9044575376
