#   LON            LAT
-130.872775697	51.5690839151
-129.830791256	50.9707072761
-128.649681007	50.2699412112
-128.119846601	49.7291942716
-127.844511787	49.1194778793
-127.643684917	48.8499436023
-127.043658594	48.5490298018
-126.653512579	48.1022175076
-126.07346697	47.3384526294
-125.853155972	46.5561377338
-125.499987861	45.4244407176
-125.387414692	44.5045637014
-125.379364523	43.1228989898
-125.255327811	42.3775589773
-125.247376961	41.7253716841
-125.076583319	41.2405688609
-124.907411805	40.7530477489
-124.723729166	40.3764698829
